Rating,# words,# pics,Days since review,Useful
3,30,0,1421,Not Useful
5,173,0,1294,Not Useful
4,46,0,1179,Not Useful
5,27,0,1263,Not Useful
4,103,0,1264,Not Useful
5,14,0,1661,Not Useful
3,76,0,1186,Not Useful
4,290,0,2055,Not Useful
4,57,0,1273,Not Useful
4,43,0,945,Not Useful
4,141,0,1353,Not Useful
5,75,0,1240,Not Useful
4,234,0,2070,Not Useful
5,82,0,1764,Not Useful
5,42,0,2131,Slightly Useful
3,164,0,1883,Not Useful
5,61,0,1207,Not Useful
5,46,0,1252,Not Useful
5,35,0,1209,Not Useful
5,44,0,2048,Not Useful
4,127,0,2081,Not Useful
5,200,0,2153,Slightly Useful
2,157,0,1295,Not Useful
4,261,0,2169,Slightly Useful
5,83,0,1256,Not Useful
4,61,0,2206,Slightly Useful
3,27,0,1256,Not Useful
4,52,0,1459,Not Useful
4,134,0,2105,Not Useful
5,70,0,2036,Not Useful
4,101,0,1358,Not Useful
4,143,0,1657,Not Useful
3,234,0,2086,Not Useful
3,93,10,2233,Slightly Useful
3,165,0,2130,Not Useful
2,316,0,1396,Not Useful
4,36,0,1396,Not Useful
4,92,0,1930,Not Useful
5,138,0,1464,Not Useful
5,429,0,2242,Slightly Useful
2,279,0,2248,Slightly Useful
5,135,0,2211,Slightly Useful
4,820,6,2271,Moderately Useful
4,43,0,2175,Not Useful
4,86,0,1701,Not Useful
3,21,0,1540,Slightly Useful
4,154,0,2266,Slightly Useful
5,109,0,1088,Not Useful
2,355,0,1972,Slightly Useful
3,179,0,1964,Not Useful
5,250,0,2313,Moderately Useful
5,81,0,2080,Not Useful
4,39,0,891,Not Useful
4,210,0,2318,Moderately Useful
3,27,0,2137,Not Useful
4,110,0,2315,Moderately Useful
5,45,0,896,Not Useful
5,16,0,900,Not Useful
3,159,0,2273,Not Useful
4,117,0,2011,Not Useful
5,108,0,2305,Slightly Useful
4,117,0,903,Not Useful
5,140,0,1197,Not Useful
4,30,0,1534,Not Useful
4,159,0,2282,Slightly Useful
4,161,0,2213,Not Useful
5,40,0,913,Not Useful
5,15,0,913,Not Useful
4,122,0,1278,Not Useful
5,24,0,922,Not Useful
4,104,0,1427,Not Useful
5,22,0,1005,Not Useful
5,24,0,1138,Not Useful
1,68,0,927,Not Useful
4,60,0,2205,Not Useful
3,28,0,906,Not Useful
2,36,0,1338,Not Useful
3,204,0,2166,Not Useful
4,14,0,977,Not Useful
5,103,0,937,Not Useful
4,45,0,2232,Not Useful
5,37,0,1138,Not Useful
4,21,0,2077,Not Useful
3,106,0,2232,Not Useful
4,25,0,987,Not Useful
4,193,0,2026,Not Useful
5,12,0,1157,Not Useful
5,19,0,1399,Not Useful
5,105,0,1434,Not Useful
3,16,0,958,Not Useful
4,37,0,959,Not Useful
4,170,0,2304,Not Useful
4,39,0,1465,Not Useful
4,31,0,1441,Not Useful
5,13,0,963,Not Useful
4,27,0,1162,Not Useful
5,48,0,851,Not Useful
5,127,0,1582,Not Useful
4,292,0,2113,Not Useful
5,28,0,1338,Not Useful
4,18,0,1384,Not Useful
2,264,0,2296,Not Useful
5,38,0,1182,Not Useful
1,27,0,982,Not Useful
5,18,0,983,Not Useful
2,117,0,1231,Not Useful
2,219,0,2308,Not Useful
5,552,0,2288,Not Useful
4,124,0,2170,Not Useful
5,95,0,1034,Not Useful
5,18,0,1929,Not Useful
4,23,0,997,Not Useful
5,58,0,1000,Not Useful
5,108,0,2023,Not Useful
4,37,0,1048,Not Useful
4,65,0,1454,Not Useful
5,22,0,1008,Not Useful
3,340,0,1180,Not Useful
3,127,0,2194,Not Useful
4,100,0,1060,Not Useful
4,195,0,2125,Not Useful
4,73,0,2206,Not Useful
1,136,0,1426,Not Useful
4,152,0,2233,Not Useful
2,28,0,1802,Slightly Useful
5,52,0,2081,Not Useful
5,40,0,1815,Slightly Useful
5,98,0,1511,Not Useful
4,92,0,1684,Not Useful
4,157,0,2177,Not Useful
1,136,0,1273,Not Useful
4,12,1,2228,Not Useful
5,42,0,2181,Not Useful
3,123,0,1807,Slightly Useful
5,23,0,1049,Not Useful
1,69,0,1049,Not Useful
4,654,0,2304,Not Useful
3,141,0,2244,Not Useful
4,36,0,1464,Not Useful
3,189,0,2212,Not Useful
3,244,0,2294,Not Useful
4,384,0,1841,Not Useful
4,99,0,1575,Not Useful
5,363,0,1755,Not Useful
1,103,0,1687,Not Useful
4,595,0,1928,Slightly Useful
3,221,0,792,Not Useful
5,164,0,1489,Not Useful
5,13,0,1085,Not Useful
4,30,0,1451,Not Useful
4,11,0,1454,Not Useful
4,39,0,1661,Not Useful
3,68,0,2271,Not Useful
5,63,0,1855,Not Useful
5,46,0,1814,Not Useful
5,71,0,1825,Not Useful
5,282,0,1276,Not Useful
2,87,0,1465,Not Useful
4,62,0,1979,Slightly Useful
4,29,0,1108,Not Useful
5,126,1,2163,Not Useful
3,63,0,1518,Not Useful
1,24,0,1196,Not Useful
5,20,0,1704,Not Useful
4,140,0,2092,Not Useful
5,381,0,2181,Not Useful
4,46,0,1570,Not Useful
3,104,0,1123,Not Useful
1,82,0,1126,Not Useful
4,51,0,1217,Not Useful
5,45,0,862,Not Useful
5,19,0,1930,Not Useful
5,31,0,1180,Not Useful
3,159,0,2297,Not Useful
5,80,0,2038,Slightly Useful
1,128,0,1587,Not Useful
1,175,0,1073,Not Useful
4,90,0,900,Not Useful
4,273,0,2043,Slightly Useful
4,75,0,1936,Not Useful
3,12,0,1766,Not Useful
4,154,0,1992,Not Useful
4,77,0,2043,Not Useful
5,59,0,1907,Not Useful
5,61,0,1879,Not Useful
5,56,0,1582,Not Useful
4,129,0,1792,Not Useful
4,93,0,1647,Not Useful
2,160,0,1970,Slightly Useful
5,57,0,1956,Not Useful
2,65,0,1665,Not Useful
3,8,0,1190,Not Useful
4,12,0,1746,Not Useful
4,14,0,1239,Not Useful
2,131,0,1175,Not Useful
5,148,0,1199,Not Useful
4,11,0,1767,Not Useful
4,99,0,1981,Not Useful
3,164,0,2117,Not Useful
5,108,0,2068,Not Useful
4,144,0,2085,Not Useful
5,41,0,1859,Not Useful
2,159,0,2024,Not Useful
4,18,0,1720,Not Useful
5,32,0,2006,Not Useful
5,271,0,1846,Not Useful
1,74,0,1734,Not Useful
5,38,0,1807,Not Useful
4,69,0,1746,Not Useful
4,177,0,1476,Not Useful
2,58,0,2207,Slightly Useful
4,29,0,1878,Not Useful
4,223,0,1830,Not Useful
5,121,0,1688,Not Useful
5,15,0,1959,Not Useful
2,30,0,1689,Not Useful
4,22,0,1689,Not Useful
2,68,0,1901,Not Useful
4,77,0,2178,Not Useful
4,183,0,2294,Slightly Useful
4,29,0,1795,Not Useful
4,30,0,1913,Not Useful
5,37,0,1232,Not Useful
1,154,0,1741,Not Useful
4,60,0,2291,Slightly Useful
5,60,0,1895,Not Useful
4,36,0,2187,Not Useful
3,103,0,2172,Slightly Useful
4,40,0,1275,Not Useful
5,85,0,1925,Not Useful
5,49,0,1794,Not Useful
2,209,0,2299,Slightly Useful
5,17,0,1336,Not Useful
5,119,0,1887,Not Useful
3,109,0,1957,Not Useful
4,76,0,2299,Not Useful
3,68,0,2154,Not Useful
5,101,0,2314,Slightly Useful
5,241,0,1660,Slightly Useful
3,163,0,2260,Not Useful
4,38,0,1945,Not Useful
2,507,0,2285,Not Useful
4,59,0,2015,Not Useful
5,27,0,1620,Not Useful
5,22,0,1806,Not Useful
4,308,0,1423,Not Useful
5,31,0,2098,Not Useful
4,210,0,1673,Not Useful
4,226,0,2147,Not Useful
3,54,0,2009,Not Useful
4,48,0,2281,Not Useful
2,75,0,1861,Not Useful
2,94,0,1973,Not Useful
5,431,0,2302,Not Useful
4,38,0,2242,Not Useful
5,65,0,2218,Not Useful
5,219,0,1915,Not Useful
5,69,0,1485,Not Useful
1,12,0,1407,Not Useful
4,25,0,2227,Not Useful
4,359,0,2280,Not Useful
4,643,0,2245,Not Useful
5,38,0,1490,Not Useful
5,11,0,2027,Not Useful
5,25,0,2201,Not Useful
5,26,0,2269,Not Useful
4,79,0,2275,Not Useful
4,73,0,1547,Not Useful
2,42,0,2152,Not Useful
5,18,0,2177,Not Useful
5,20,0,2210,Not Useful
4,12,0,2128,Not Useful
5,10,0,1512,Not Useful
5,35,0,1660,Not Useful
5,53,0,1892,Not Useful
4,86,0,2196,Not Useful
4,183,0,2182,Slightly Useful
4,37,0,1723,Not Useful
4,75,0,2304,Not Useful
4,168,0,2145,Not Useful
4,31,0,1714,Not Useful
5,16,0,2289,Not Useful
4,34,0,1767,Not Useful
3,308,0,2253,Not Useful
4,50,0,1806,Not Useful
4,16,0,1933,Not Useful
4,26,0,2030,Not Useful
3,197,0,2226,Not Useful
4,73,0,2069,Not Useful
5,60,0,2075,Not Useful
5,13,0,2180,Not Useful
2,59,0,2202,Not Useful
5,41,0,2303,Not Useful
5,190,0,2272,Not Useful
5,103,0,196,Not Useful
2,231,0,315,Slightly Useful
5,26,3,191,Not Useful
5,26,0,193,Not Useful
5,78,0,143,Not Useful
5,64,2,203,Not Useful
4,170,1,525,Slightly Useful
4,112,0,321,Not Useful
5,69,0,168,Not Useful
5,49,2,196,Not Useful
2,288,1,427,Slightly Useful
5,34,4,364,Not Useful
2,73,0,171,Not Useful
5,19,0,191,Not Useful
4,87,2,291,Not Useful
4,130,0,515,Slightly Useful
5,97,1,282,Not Useful
5,40,0,307,Not Useful
4,233,3,733,Moderately Useful
5,115,4,343,Not Useful
4,193,8,344,Not Useful
2,55,0,266,Slightly Useful
5,23,0,254,Not Useful
4,25,0,167,Not Useful
4,173,0,584,Not Useful
4,90,0,592,Not Useful
5,65,4,469,Slightly Useful
4,91,0,261,Not Useful
4,45,0,290,Not Useful
5,40,0,282,Not Useful
5,175,4,883,Slightly Useful
5,137,1,434,Not Useful
4,89,0,707,Slightly Useful
5,134,0,198,Not Useful
5,27,0,184,Not Useful
5,72,0,521,Not Useful
4,69,0,499,Not Useful
5,42,0,382,Not Useful
4,265,6,1015,Slightly Useful
5,53,1,601,Slightly Useful
5,91,0,377,Not Useful
5,74,0,387,Not Useful
5,29,0,366,Not Useful
5,50,0,335,Not Useful
5,29,2,798,Not Useful
5,58,0,372,Not Useful
5,358,0,443,Not Useful
5,60,0,442,Not Useful
4,36,0,351,Not Useful
4,48,0,633,Not Useful
5,64,0,387,Not Useful
4,92,0,449,Not Useful
4,52,0,590,Not Useful
2,45,0,244,Not Useful
5,110,1,573,Not Useful
4,49,0,397,Not Useful
3,42,0,641,Not Useful
5,45,1,517,Not Useful
4,155,0,427,Not Useful
1,59,0,478,Not Useful
5,52,0,469,Not Useful
5,40,1,745,Not Useful
5,39,0,448,Not Useful
4,155,0,765,Slightly Useful
5,16,0,295,Not Useful
5,53,0,520,Not Useful
5,48,0,426,Not Useful
5,90,0,496,Not Useful
5,84,0,741,Not Useful
5,30,0,504,Not Useful
5,67,0,472,Not Useful
5,74,0,752,Not Useful
4,57,0,437,Not Useful
5,110,0,520,Not Useful
4,42,0,497,Not Useful
5,28,0,634,Not Useful
5,20,0,343,Not Useful
4,86,0,528,Not Useful
5,94,0,616,Not Useful
5,62,0,365,Not Useful
5,38,0,401,Not Useful
3,93,7,1222,Not Useful
5,18,0,590,Not Useful
5,37,0,622,Not Useful
4,35,0,656,Not Useful
5,27,0,593,Not Useful
1,50,0,671,Not Useful
5,77,0,672,Not Useful
5,115,0,800,Not Useful
5,19,0,441,Not Useful
4,17,1,1010,Not Useful
4,86,0,656,Not Useful
5,71,0,661,Not Useful
5,50,0,484,Not Useful
4,53,0,736,Not Useful
5,35,0,669,Not Useful
1,276,0,1102,Slightly Useful
5,26,0,753,Not Useful
5,16,0,529,Not Useful
5,23,0,762,Not Useful
5,36,0,743,Not Useful
4,70,0,765,Not Useful
5,33,0,741,Not Useful
5,40,0,720,Not Useful
3,95,0,1464,Not Useful
5,50,1,724,Not Useful
5,69,0,1219,Slightly Useful
5,35,0,701,Not Useful
5,31,6,1171,Not Useful
5,63,0,715,Not Useful
5,86,4,1057,Slightly Useful
5,51,0,759,Not Useful
4,356,0,1712,Moderately Useful
5,33,0,860,Slightly Useful
4,139,0,1314,Slightly Useful
4,40,0,924,Slightly Useful
4,32,0,891,Slightly Useful
4,15,0,858,Not Useful
5,48,0,787,Not Useful
5,50,0,787,Not Useful
4,30,0,1365,Slightly Useful
5,44,0,588,Not Useful
4,110,0,1652,Slightly Useful
4,401,0,1253,Not Useful
4,133,0,956,Slightly Useful
4,24,0,624,Not Useful
5,22,3,1172,Not Useful
3,378,0,913,Not Useful
4,40,0,790,Not Useful
2,67,1,1727,Not Useful
5,44,0,845,Slightly Useful
5,36,0,847,Slightly Useful
5,243,0,1421,Slightly Useful
5,31,0,923,Not Useful
2,50,0,1243,Not Useful
4,43,0,878,Slightly Useful
5,59,0,956,Not Useful
4,97,0,1092,Not Useful
5,48,2,1287,Not Useful
5,44,4,1328,Not Useful
4,15,0,1116,Not Useful
5,27,0,1004,Not Useful
2,68,0,1125,Not Useful
4,70,0,1624,Slightly Useful
5,50,0,727,Not Useful
4,20,0,1155,Not Useful
4,48,0,1662,Slightly Useful
5,26,0,740,Not Useful
4,30,0,1299,Not Useful
5,58,0,1097,Not Useful
5,13,0,1325,Slightly Useful
5,16,0,774,Not Useful
5,17,0,785,Not Useful
4,45,0,1246,Not Useful
5,26,0,1347,Slightly Useful
4,122,0,1619,Slightly Useful
5,55,0,1154,Not Useful
4,43,0,1247,Not Useful
4,47,0,1274,Not Useful
5,13,0,1172,Not Useful
4,27,0,1720,Slightly Useful
5,26,0,1276,Not Useful
5,47,0,1281,Not Useful
4,90,0,1389,Not Useful
5,83,0,867,Slightly Useful
5,16,0,1247,Not Useful
5,19,0,965,Not Useful
4,131,0,1686,Not Useful
2,93,0,1553,Not Useful
4,27,0,1351,Not Useful
5,22,0,1111,Not Useful
4,103,0,1720,Moderately Useful
5,11,0,1547,Not Useful
4,115,0,1110,Not Useful
4,108,0,1079,Not Useful
4,209,0,1299,Not Useful
4,92,0,1603,Not Useful
5,208,0,1426,Not Useful
4,29,0,1643,Slightly Useful
5,23,0,1738,Slightly Useful
1,114,0,1289,Not Useful
4,94,0,148,Not Useful
2,239,1,151,Not Useful
1,79,0,157,Not Useful
4,675,3,161,Not Useful
3,424,3,281,Not Useful
4,197,5,306,Slightly Useful
4,259,7,353,Moderately Useful
4,38,1,221,Not Useful
4,278,7,391,Slightly Useful
4,302,8,271,Moderately Useful
4,59,4,185,Not Useful
5,99,5,228,Not Useful
5,76,4,240,Not Useful
4,41,0,204,Slightly Useful
5,237,5,448,Moderately Useful
3,150,8,358,Not Useful
4,19,2,176,Not Useful
3,122,0,150,Not Useful
5,27,0,153,Not Useful
2,167,0,179,Not Useful
1,270,0,172,Slightly Useful
4,156,0,171,Not Useful
1,429,1,232,Slightly Useful
5,189,0,168,Not Useful
4,143,0,315,Not Useful
5,201,2,558,Not Useful
5,398,5,424,Moderately Useful
5,128,5,399,Slightly Useful
4,97,1,414,Not Useful
4,88,2,434,Not Useful
4,73,0,243,Not Useful
2,169,0,174,Not Useful
5,654,3,480,Slightly Useful
2,325,0,284,Not Useful
2,733,0,505,Moderately Useful
4,97,2,484,Not Useful
3,459,2,674,Slightly Useful
3,194,1,723,Moderately Useful
3,130,0,309,Not Useful
5,19,0,161,Not Useful
5,43,0,536,Not Useful
3,64,1,540,Not Useful
5,118,0,209,Not Useful
4,459,4,362,Not Useful
5,73,0,168,Not Useful
5,44,0,232,Not Useful
4,223,3,719,Not Useful
5,241,1,465,Moderately Useful
4,265,0,425,Not Useful
5,85,1,539,Not Useful
4,87,0,389,Not Useful
4,244,1,768,Not Useful
5,273,0,769,Not Useful
1,131,0,461,Not Useful
3,95,0,257,Not Useful
5,83,0,667,Slightly Useful
4,51,0,263,Not Useful
2,103,0,302,Not Useful
1,869,0,295,Not Useful
5,123,1,420,Not Useful
5,94,0,383,Not Useful
4,38,0,254,Not Useful
4,295,4,928,Slightly Useful
1,161,0,304,Not Useful
5,97,0,278,Not Useful
2,76,0,330,Slightly Useful
3,43,0,200,Not Useful
5,83,0,258,Not Useful
5,29,1,425,Not Useful
5,193,1,962,Slightly Useful
4,221,3,660,Not Useful
5,59,0,699,Not Useful
4,214,0,692,Not Useful
5,234,5,657,Not Useful
4,50,0,300,Not Useful
5,414,1,725,Not Useful
5,103,4,1016,Not Useful
5,177,0,335,Not Useful
5,20,0,333,Not Useful
5,212,5,813,Slightly Useful
4,172,1,1061,Not Useful
3,114,0,809,Not Useful
3,171,0,252,Not Useful
5,102,0,325,Not Useful
3,235,0,614,Not Useful
2,29,0,350,Not Useful
5,163,0,535,Not Useful
2,138,0,434,Not Useful
5,37,0,400,Not Useful
5,41,1,563,Not Useful
2,147,0,380,Not Useful
3,198,3,504,Slightly Useful
2,108,0,348,Not Useful
3,149,2,764,Not Useful
5,144,0,356,Not Useful
4,144,0,390,Not Useful
1,216,0,675,Slightly Useful
4,182,0,1292,Moderately Useful
4,82,1,843,Not Useful
3,70,0,391,Not Useful
4,41,0,394,Not Useful
4,51,0,479,Not Useful
5,41,1,623,Not Useful
3,333,0,524,Slightly Useful
4,64,0,508,Not Useful
4,47,0,427,Not Useful
2,134,0,386,Not Useful
1,100,0,386,Not Useful
3,126,0,671,Not Useful
5,95,0,961,Slightly Useful
3,145,0,424,Not Useful
5,60,0,414,Not Useful
5,19,0,634,Not Useful
2,40,0,715,Not Useful
5,29,0,421,Not Useful
2,143,0,439,Not Useful
4,335,3,1400,Slightly Useful
5,97,0,654,Not Useful
5,86,0,479,Not Useful
4,68,0,691,Not Useful
4,68,1,902,Not Useful
4,193,2,669,Not Useful
5,93,0,304,Not Useful
5,232,3,1135,Slightly Useful
4,34,0,475,Not Useful
4,357,2,1516,Slightly Useful
4,21,0,576,Not Useful
1,226,0,464,Slightly Useful
4,274,0,1170,Slightly Useful
5,147,0,781,Slightly Useful
4,25,0,590,Not Useful
5,235,6,760,Not Useful
5,42,0,779,Not Useful
5,80,0,529,Not Useful
5,85,0,522,Not Useful
5,31,0,799,Not Useful
4,67,0,649,Not Useful
5,65,0,572,Not Useful
5,109,0,768,Not Useful
1,145,0,626,Not Useful
5,90,2,733,Not Useful
1,295,0,677,Slightly Useful
4,219,2,1576,Slightly Useful
3,458,0,875,Slightly Useful
5,38,0,543,Not Useful
5,60,0,827,Not Useful
2,379,0,857,Slightly Useful
5,76,0,866,Slightly Useful
3,207,0,641,Not Useful
2,22,0,643,Not Useful
5,22,0,550,Not Useful
5,39,0,585,Not Useful
5,34,0,752,Not Useful
4,158,0,1138,Not Useful
4,57,0,627,Not Useful
5,113,0,781,Not Useful
5,104,0,954,Moderately Useful
5,88,0,922,Not Useful
3,147,3,1614,Not Useful
5,249,0,986,Moderately Useful
1,95,0,857,Not Useful
3,96,0,854,Not Useful
5,82,0,959,Slightly Useful
3,102,1,1143,Not Useful
4,37,0,459,Not Useful
5,222,0,800,Not Useful
1,54,0,510,Not Useful
4,31,0,855,Not Useful
5,72,7,1018,Slightly Useful
4,50,2,937,Not Useful
5,58,0,837,Not Useful
3,93,0,612,Not Useful
5,16,0,617,Not Useful
5,169,0,689,Not Useful
3,207,0,1251,Not Useful
5,114,0,826,Not Useful
4,105,1,1243,Not Useful
5,199,1,1343,Not Useful
5,25,0,630,Not Useful
4,276,1,2005,Slightly Useful
5,59,0,905,Not Useful
5,56,1,842,Not Useful
5,148,0,966,Not Useful
3,82,0,727,Not Useful
5,14,0,984,Not Useful
4,59,0,850,Not Useful
3,653,0,783,Slightly Useful
4,142,0,1474,Slightly Useful
5,45,0,1066,Slightly Useful
5,85,0,656,Not Useful
4,111,0,1074,Not Useful
4,73,0,759,Not Useful
4,96,0,1079,Not Useful
3,360,9,2273,Moderately Useful
4,109,0,1003,Not Useful
4,43,0,687,Not Useful
3,123,0,705,Not Useful
5,90,0,978,Not Useful
3,195,1,1889,Not Useful
5,69,0,883,Not Useful
5,49,0,749,Not Useful
5,21,0,732,Not Useful
5,44,0,1039,Not Useful
5,69,0,796,Not Useful
3,293,3,2255,Slightly Useful
3,251,0,1236,Moderately Useful
4,95,0,1218,Slightly Useful
5,70,0,932,Not Useful
4,263,0,1291,Moderately Useful
5,75,8,1527,Not Useful
2,189,0,1465,Not Useful
3,68,0,791,Not Useful
4,395,11,1649,Slightly Useful
5,38,1,1001,Not Useful
3,256,0,1244,Slightly Useful
5,94,0,1034,Not Useful
3,221,0,1279,Slightly Useful
4,324,4,1716,Slightly Useful
4,72,0,1256,Slightly Useful
2,542,0,886,Slightly Useful
5,54,0,785,Not Useful
5,325,1,1637,Not Useful
4,72,0,1268,Slightly Useful
5,95,0,1048,Not Useful
5,168,0,760,Not Useful
5,37,0,1238,Not Useful
3,60,0,779,Not Useful
4,141,0,1331,Slightly Useful
5,8,0,1130,Not Useful
4,368,7,1142,Not Useful
5,134,0,811,Not Useful
4,32,0,831,Not Useful
4,134,0,1171,Not Useful
5,31,1,1146,Not Useful
1,130,0,607,Not Useful
5,146,0,902,Not Useful
4,80,0,1279,Not Useful
4,17,0,799,Not Useful
1,56,0,817,Not Useful
4,554,0,1394,Slightly Useful
5,345,0,1913,Slightly Useful
5,62,0,1140,Not Useful
3,212,0,851,Not Useful
5,138,0,849,Not Useful
5,211,0,1379,Slightly Useful
5,239,2,2014,Moderately Useful
5,28,0,910,Not Useful
4,365,1,1970,Slightly Useful
4,96,0,1250,Not Useful
4,338,0,2025,Moderately Useful
4,386,0,1915,Not Useful
5,317,0,1461,Moderately Useful
4,232,0,1357,Not Useful
5,20,0,851,Not Useful
5,92,0,652,Not Useful
3,207,0,1201,Slightly Useful
5,47,0,861,Not Useful
5,17,0,982,Not Useful
3,122,0,1224,Slightly Useful
5,62,0,892,Not Useful
4,59,0,842,Not Useful
3,269,0,1314,Not Useful
3,76,0,663,Not Useful
4,22,0,913,Not Useful
4,14,0,891,Not Useful
5,474,2,1529,Moderately Useful
4,109,0,1467,Slightly Useful
1,38,0,1026,Not Useful
5,86,1,1467,Slightly Useful
5,17,0,855,Not Useful
3,137,0,1892,Not Useful
4,464,0,1489,Slightly Useful
5,60,0,973,Not Useful
3,42,0,1099,Not Useful
4,23,0,925,Not Useful
4,156,0,1554,Slightly Useful
5,205,0,1135,Slightly Useful
5,44,0,1016,Not Useful
4,75,0,1097,Not Useful
4,334,1,2281,Moderately Useful
3,78,0,1066,Not Useful
4,109,0,2083,Slightly Useful
5,112,0,1451,Not Useful
4,201,0,1098,Not Useful
3,218,0,1901,Not Useful
5,115,0,882,Not Useful
4,183,0,1485,Not Useful
5,71,0,1486,Not Useful
5,508,0,1590,Moderately Useful
4,78,0,1532,Slightly Useful
5,29,0,696,Not Useful
3,298,5,1895,Not Useful
5,136,0,1000,Not Useful
4,144,0,1500,Not Useful
5,98,0,1548,Slightly Useful
3,66,0,898,Not Useful
4,122,0,997,Not Useful
2,26,0,910,Not Useful
5,94,0,1586,Slightly Useful
4,96,0,992,Not Useful
4,30,0,1154,Not Useful
5,75,0,968,Not Useful
3,148,0,1640,Slightly Useful
5,200,0,1677,Slightly Useful
4,203,0,1659,Slightly Useful
2,282,0,1548,Not Useful
1,130,0,1019,Not Useful
2,150,0,1072,Not Useful
5,201,0,1156,Not Useful
2,134,0,1150,Not Useful
4,258,0,804,Not Useful
5,82,0,821,Not Useful
4,207,0,1685,Slightly Useful
3,84,0,1466,Not Useful
5,73,0,1053,Not Useful
5,151,0,1619,Not Useful
5,112,0,1081,Not Useful
5,22,0,1025,Not Useful
3,94,0,1057,Not Useful
5,168,0,1737,Slightly Useful
5,152,8,1119,Not Useful
5,54,0,1059,Not Useful
5,38,0,1217,Not Useful
5,112,0,1765,Slightly Useful
1,122,0,1098,Not Useful
5,252,0,1820,Slightly Useful
2,119,0,1503,Not Useful
4,45,0,1028,Not Useful
4,48,1,1816,Slightly Useful
2,184,0,1049,Not Useful
4,137,0,1702,Not Useful
5,48,0,1335,Slightly Useful
4,288,0,884,Not Useful
3,316,0,1935,Moderately Useful
4,168,0,1777,Not Useful
3,364,0,1869,Slightly Useful
4,147,0,1626,Not Useful
5,354,0,1877,Slightly Useful
5,76,0,1294,Not Useful
4,77,2,1688,Not Useful
3,137,0,1511,Not Useful
2,136,0,827,Not Useful
5,37,0,1789,Not Useful
5,310,0,1409,Slightly Useful
4,71,0,1823,Not Useful
3,77,0,1085,Not Useful
4,573,0,1951,Slightly Useful
1,108,0,1904,Slightly Useful
4,27,0,1132,Not Useful
5,159,0,1377,Slightly Useful
1,60,0,1229,Not Useful
5,43,0,1338,Not Useful
4,347,0,1153,Not Useful
5,142,0,1338,Not Useful
5,137,0,1357,Not Useful
4,96,0,1300,Not Useful
5,290,0,2084,Moderately Useful
5,189,0,2022,Slightly Useful
5,106,0,1372,Not Useful
1,154,0,1164,Not Useful
2,37,0,1258,Not Useful
5,375,0,2117,Slightly Useful
4,11,0,1277,Not Useful
3,191,0,1894,Not Useful
5,96,0,1300,Not Useful
1,28,0,910,Not Useful
2,29,0,1223,Not Useful
4,119,0,1917,Not Useful
5,55,0,1362,Slightly Useful
5,193,1,1432,Not Useful
2,91,0,2085,Slightly Useful
5,68,0,1207,Not Useful
3,154,0,1209,Not Useful
4,84,0,2141,Slightly Useful
1,34,0,1524,Slightly Useful
4,27,0,1918,Not Useful
4,102,0,2182,Slightly Useful
4,102,0,1499,Slightly Useful
4,156,0,2220,Slightly Useful
1,199,0,881,Not Useful
5,51,0,1370,Not Useful
1,353,0,2275,Moderately Useful
5,18,0,1448,Not Useful
5,29,0,1365,Not Useful
4,30,0,2228,Slightly Useful
5,19,0,931,Not Useful
5,10,0,1298,Not Useful
5,322,1,2230,Slightly Useful
3,220,0,2146,Not Useful
5,16,0,1440,Not Useful
4,58,0,1430,Not Useful
1,213,0,2001,Not Useful
2,196,0,2279,Slightly Useful
3,209,0,2265,Slightly Useful
5,48,0,1323,Not Useful
3,122,0,1923,Not Useful
4,329,0,2221,Not Useful
2,315,0,997,Not Useful
4,105,0,2161,Not Useful
5,204,0,1023,Not Useful
4,189,0,2153,Not Useful
4,18,0,1006,Not Useful
4,94,0,2084,Not Useful
5,55,0,2094,Not Useful
5,41,0,2096,Not Useful
5,104,0,1322,Not Useful
5,75,0,1580,Not Useful
5,21,0,1499,Not Useful
5,221,0,2238,Not Useful
5,15,0,1015,Not Useful
5,174,0,1114,Not Useful
4,16,0,997,Not Useful
4,588,0,1716,Slightly Useful
3,76,0,1479,Not Useful
5,37,0,1429,Not Useful
5,50,0,1484,Not Useful
5,61,0,1585,Not Useful
5,67,0,1767,Slightly Useful
5,61,0,2271,Not Useful
4,77,0,2135,Not Useful
5,57,0,1425,Not Useful
4,82,0,1658,Slightly Useful
5,147,0,1674,Not Useful
5,172,0,1896,Slightly Useful
4,45,0,1472,Not Useful
5,75,0,1140,Not Useful
4,290,0,1867,Slightly Useful
5,151,0,1860,Slightly Useful
5,35,0,1617,Not Useful
5,106,0,1620,Not Useful
4,73,0,2241,Not Useful
5,92,0,1809,Not Useful
5,86,0,1684,Not Useful
4,137,0,1838,Not Useful
5,26,0,1710,Not Useful
4,145,0,2270,Not Useful
3,107,0,1597,Not Useful
3,321,0,1237,Not Useful
1,165,0,1654,Not Useful
4,108,0,2107,Slightly Useful
3,70,0,1632,Not Useful
2,422,0,1267,Not Useful
5,21,0,1562,Not Useful
5,53,0,1906,Not Useful
4,80,0,1956,Not Useful
4,84,0,2138,Slightly Useful
1,102,0,1600,Not Useful
3,229,0,1614,Not Useful
4,122,0,2004,Slightly Useful
3,223,0,1213,Not Useful
5,152,0,1923,Not Useful
5,17,0,1887,Not Useful
5,29,0,2077,Not Useful
5,176,0,1312,Not Useful
3,37,0,1688,Not Useful
3,485,0,2252,Slightly Useful
